level_0,index,Unnamed: 0,date,link_id,sub_link_id,forward_link_direction,roughness_state_estimate,roughness_state_variance,length_in_meter,sub_link_length,sub_link_geometry_wkt
1819709,4436196,4436196,2023-10-01,500752387,9,True,1.6572015,0.05322304,444.05218,24.66956555555556,"LINESTRING (-5.04748 56.84499, -5.0473 56.84519, -5.0473 56.84519)"
1819729,4436217,4436217,2023-10-01,500752387,15,False,2.0910766,0.055987973,444.05218,24.66956555555556,"LINESTRING (-5.04681 56.84626, -5.04677 56.84648)"
1820892,4439255,4439255,2023-10-08,500752387,17,False,2.2042642,0.06021095,444.05218,24.66956555555556,"LINESTRING (-5.04673 56.8467, -5.04669 56.84692)"
1820914,4439281,4439281,2023-10-08,500752387,11,True,2.3745766,0.056854308,444.05218,24.66956555555556,"LINESTRING (-5.04715 56.8454, -5.04714 56.84541, -5.04702 56.8456, -5.04702 56.84561)"
1822122,4441745,4441745,2023-10-15,500752387,2,True,3.0499732,0.07838125,444.05218,24.66956555555556,"LINESTRING (-5.04884 56.84363, -5.04876 56.8437, -5.04864 56.84382)"
1822126,4441750,4441750,2023-10-15,500752387,17,False,2.235802,0.062433645,444.05218,24.66956555555556,"LINESTRING (-5.04673 56.8467, -5.04669 56.84692)"
1836917,4477186,4477186,2023-10-29,500752387,5,True,1.8626598,0.058465876,444.05218,24.66956555555556,"LINESTRING (-5.04824 56.84421, -5.04805 56.8444)"
1836920,4477191,4477191,2023-10-29,500752387,0,False,1.7452325,0.057900846,444.05218,24.66956555555556,"LINESTRING (-5.04925 56.84325, -5.04904 56.84344)"
1837860,4479638,4479638,2023-10-29,500752387,17,True,1.8833933,0.059495337,444.05218,24.66956555555556,"LINESTRING (-5.04673 56.8467, -5.04669 56.84692)"
1837877,4479655,4479655,2023-10-29,500752387,14,False,2.4568558,0.060775723,444.05218,24.66956555555556,"LINESTRING (-5.04686 56.84604, -5.04683 56.84618, -5.04681 56.84626)"
1851431,4514731,4514731,2023-11-22,500752387,14,False,2.2657294,0.061403528,444.05218,24.66956555555556,"LINESTRING (-5.04686 56.84604, -5.04683 56.84618, -5.04681 56.84626)"
